id	lfp_change
17069	-0.020
17071	-0.020
17073	-0.020
17075	-0.020
17077	-0.020
17079	-0.020
17081	-0.020
17083	-0.020
17085	-0.020
17087	-0.020
17089	-0.020
17091	-0.020
17093	-0.020
17095	-0.020
17097	-0.020
17099	-0.020
17101	-0.020
17103	-0.020
17105	-0.020
17107	-0.020
17109	-0.020
17111	-0.020
17113	-0.020
17115	-0.020
17117	-0.020
17119	-0.020
17121	-0.020
17123	-0.020
17125	-0.020
17127	-0.020
17129	-0.020
17131	-0.020
17133	-0.020
17135	-0.020
17137	-0.020
17139	-0.020
17141	-0.020
17143	-0.020
17145	-0.020
17147	-0.020
17149	-0.020
17151	-0.020
17153	-0.020
17155	-0.020
17157	-0.020
17159	-0.020
17161	-0.020
17163	-0.020
17165	-0.020
17167	-0.020
17169	-0.020
17171	-0.020
17173	-0.020
17175	-0.020
17177	-0.020
17179	-0.020
17181	-0.020
17183	-0.020
17185	-0.020
17187	-0.020
17189	-0.020
17191	-0.020
17193	-0.020
17195	-0.020
17197	-0.020
17199	-0.020
17201	-0.020
17203	-0.020
18001	-0.027
18003	-0.027
18005	-0.027
18007	-0.027
18009	-0.027
18011	-0.027
18013	-0.027
18015	-0.027
18017	-0.027
18019	-0.027
18021	-0.027
18023	-0.027
18025	-0.027
18027	-0.027
18029	-0.027
18031	-0.027
18033	-0.027
18035	-0.027
18037	-0.027
18039	-0.027
18041	-0.027
18043	-0.027
18045	-0.027
18047	-0.027
18049	-0.027
18051	-0.027
18053	-0.027
18055	-0.027
18057	-0.027
18059	-0.027
18061	-0.027
18063	-0.027
18065	-0.027
18067	-0.027
18069	-0.027
18071	-0.027
18073	-0.027
18075	-0.027
18077	-0.027
18079	-0.027
18081	-0.027
18083	-0.027
18085	-0.027
18087	-0.027
18089	-0.027
18091	-0.027
18093	-0.027
18095	-0.027
18097	-0.027
18099	-0.027
18101	-0.027
18103	-0.027
18105	-0.027
18107	-0.027
18109	-0.027
18111	-0.027
18113	-0.027
18115	-0.027
18117	-0.027
18119	-0.027
18121	-0.027
18123	-0.027
18125	-0.027
18127	-0.027
18129	-0.027
18131	-0.027
18133	-0.027
18135	-0.027
18137	-0.027
18139	-0.027
18141	-0.027
18143	-0.027
18145	-0.027
18147	-0.027
18149	-0.027
18151	-0.027
18153	-0.027
18155	-0.027
18157	-0.027
18159	-0.027
18161	-0.027
18163	-0.027
18165	-0.027
18167	-0.027
18169	-0.027
18171	-0.027
18173	-0.027
18175	-0.027
18177	-0.027
18179	-0.027
18181	-0.027
18183	-0.027
19001	-0.006
19003	-0.006
19005	-0.006
19007	-0.006
19009	-0.006
19011	-0.006
19013	-0.006
19015	-0.006
19017	-0.006
19019	-0.006
19021	-0.006
19023	-0.006
19025	-0.006
19027	-0.006
19029	-0.006
19031	-0.006
19033	-0.006
19035	-0.006
19037	-0.006
19039	-0.006
19041	-0.006
19043	-0.006
19045	-0.006
19047	-0.006
19049	-0.006
19051	-0.006
19053	-0.006
19055	-0.006
19057	-0.006
19059	-0.006
19061	-0.006
19063	-0.006
19065	-0.006
19067	-0.006
19069	-0.006
19071	-0.006
19073	-0.006
19075	-0.006
19077	-0.006
19079	-0.006
19081	-0.006
19083	-0.006
19085	-0.006
19087	-0.006
19089	-0.006
19091	-0.006
19093	-0.006
19095	-0.006
19097	-0.006
19099	-0.006
19101	-0.006
19103	-0.006
19105	-0.006
19107	-0.006
19109	-0.006
19111	-0.006
19113	-0.006
19115	-0.006
19117	-0.006
19119	-0.006
19121	-0.006
19123	-0.006
19125	-0.006
19127	-0.006
19129	-0.006
19131	-0.006
19133	-0.006
19135	-0.006
19137	-0.006
19139	-0.006
19141	-0.006
19143	-0.006
19145	-0.006
19147	-0.006
19149	-0.006
19151	-0.006
